StreamChain add 0x4ddd7f0
Start to process run: 40765 ... 
[Run]:40765 [Site]:4 [Bin]:14221 [FullTime]:3600 [SkipTime]:0 [Veto1]:67.7461 [Veto2]:77.6133 [Veto3]:73.6535 [Veto4]:64.4844 [SgUp1]:67316 [SgUp2]:67684 [SgUp3]:68737 [SgUp4]:69762 [SgLow1]:67284 [SgLow2]:67636 [SgLow3]:68715 [SgLow4]:69736 [NetMuon1]:53726 [NetMuon2]:53616 [NetMuon3]:53670 [NetMuon4]:53821
[Run]:40765 [Site]:4 [Bin]:14222 [FullTime]:3600 [SkipTime]:0 [Veto1]:69.651 [Veto2]:60.71 [Veto3]:75.5577 [Veto4]:67.6717 [SgUp1]:66347 [SgUp2]:68860 [SgUp3]:68817 [SgUp4]:69849 [SgLow1]:66316 [SgLow2]:68832 [SgLow3]:68787 [SgLow4]:69819 [NetMuon1]:53597 [NetMuon2]:53727 [NetMuon3]:53531 [NetMuon4]:53714
[Run]:40765 [Site]:4 [Bin]:14223 [FullTime]:3600 [SkipTime]:0 [Veto1]:61.6145 [Veto2]:63.0578 [Veto3]:63.0142 [Veto4]:69.9676 [SgUp1]:67235 [SgUp2]:68059 [SgUp3]:69646 [SgUp4]:69186 [SgLow1]:67217 [SgLow2]:68026 [SgLow3]:69629 [SgLow4]:69135 [NetMuon1]:54146 [NetMuon2]:54128 [NetMuon3]:54130 [NetMuon4]:54026
[Run]:40765 [Site]:4 [Bin]:14224 [FullTime]:3600 [SkipTime]:0 [Veto1]:56.8667 [Veto2]:65.7065 [Veto3]:64.7313 [Veto4]:60.7673 [SgUp1]:67349 [SgUp2]:69303 [SgUp3]:68656 [SgUp4]:69561 [SgLow1]:67316 [SgLow2]:69277 [SgLow3]:68616 [SgLow4]:69523 [NetMuon1]:53887 [NetMuon2]:53717 [NetMuon3]:53720 [NetMuon4]:53793
[Run]:40765 [Site]:4 [Bin]:14225 [FullTime]:3600 [SkipTime]:0 [Veto1]:64.6767 [Veto2]:57.7052 [Veto3]:62.6136 [Veto4]:61.6701 [SgUp1]:66784 [SgUp2]:68285 [SgUp3]:69087 [SgUp4]:68694 [SgLow1]:66761 [SgLow2]:68249 [SgLow3]:69065 [SgLow4]:68673 [NetMuon1]:53617 [NetMuon2]:53713 [NetMuon3]:53643 [NetMuon4]:53638
[Run]:40765 [Site]:4 [Bin]:14226 [FullTime]:3600 [SkipTime]:0 [Veto1]:58.6154 [Veto2]:53.728 [Veto3]:65.5698 [Veto4]:67.5293 [SgUp1]:67145 [SgUp2]:68667 [SgUp3]:69474 [SgUp4]:69186 [SgLow1]:67118 [SgLow2]:68623 [SgLow3]:69456 [SgLow4]:69158 [NetMuon1]:53624 [NetMuon2]:53757 [NetMuon3]:53572 [NetMuon4]:53553
[Run]:40765 [Site]:4 [Bin]:14227 [FullTime]:3600 [SkipTime]:0 [Veto1]:71.3119 [Veto2]:63.3064 [Veto3]:62.3598 [Veto4]:71.2431 [SgUp1]:66584 [SgUp2]:68185 [SgUp3]:68990 [SgUp4]:69044 [SgLow1]:66561 [SgLow2]:68154 [SgLow3]:68968 [SgLow4]:69021 [NetMuon1]:54355 [NetMuon2]:54477 [NetMuon3]:54517 [NetMuon4]:54368
[Run]:40765 [Site]:4 [Bin]:14228 [FullTime]:3600 [SkipTime]:0 [Veto1]:74.7478 [Veto2]:68.7772 [Veto3]:71.3369 [Veto4]:75.6973 [SgUp1]:67251 [SgUp2]:68208 [SgUp3]:68731 [SgUp4]:68450 [SgLow1]:67222 [SgLow2]:68181 [SgLow3]:68700 [SgLow4]:68428 [NetMuon1]:53704 [NetMuon2]:53818 [NetMuon3]:53746 [NetMuon4]:53723
[Run]:40765 [Site]:4 [Bin]:14229 [FullTime]:3600.01 [SkipTime]:0 [Veto1]:67.4822 [Veto2]:62.5144 [Veto3]:72.4911 [Veto4]:61.5236 [SgUp1]:67219 [SgUp2]:68736 [SgUp3]:68903 [SgUp4]:69449 [SgLow1]:67196 [SgLow2]:68711 [SgLow3]:68867 [SgLow4]:69429 [NetMuon1]:53358 [NetMuon2]:53439 [NetMuon3]:53281 [NetMuon4]:53461
[Run]:40765 [Site]:4 [Bin]:14230 [FullTime]:3600 [SkipTime]:0 [Veto1]:68.6669 [Veto2]:65.674 [Veto3]:59.7273 [Veto4]:59.7119 [SgUp1]:67785 [SgUp2]:68640 [SgUp3]:69126 [SgUp4]:69584 [SgLow1]:67755 [SgLow2]:68622 [SgLow3]:69092 [SgLow4]:69550 [NetMuon1]:53602 [NetMuon2]:53630 [NetMuon3]:53773 [NetMuon4]:53753
[Run]:40765 [Site]:4 [Bin]:14231 [FullTime]:3600 [SkipTime]:0 [Veto1]:63.593 [Veto2]:57.6998 [Veto3]:68.5136 [Veto4]:60.6684 [SgUp1]:67585 [SgUp2]:68135 [SgUp3]:69430 [SgUp4]:69464 [SgLow1]:67564 [SgLow2]:68095 [SgLow3]:69392 [SgLow4]:69431 [NetMuon1]:53555 [NetMuon2]:53654 [NetMuon3]:53528 [NetMuon4]:53638
[Run]:40765 [Site]:4 [Bin]:14232 [FullTime]:3600 [SkipTime]:0 [Veto1]:66.4876 [Veto2]:65.4584 [Veto3]:62.4194 [Veto4]:61.5155 [SgUp1]:67869 [SgUp2]:68423 [SgUp3]:68855 [SgUp4]:69697 [SgLow1]:67824 [SgLow2]:68387 [SgLow3]:68831 [SgLow4]:69665 [NetMuon1]:53401 [NetMuon2]:53438 [NetMuon3]:53472 [NetMuon4]:53459
[Run]:40765 [Site]:4 [Bin]:14233 [FullTime]:3600 [SkipTime]:0 [Veto1]:65.4931 [Veto2]:73.3016 [Veto3]:60.4629 [Veto4]:68.4246 [SgUp1]:67617 [SgUp2]:68264 [SgUp3]:69142 [SgUp4]:69043 [SgLow1]:67581 [SgLow2]:68232 [SgLow3]:69118 [SgLow4]:68998 [NetMuon1]:53346 [NetMuon2]:53260 [NetMuon3]:53435 [NetMuon4]:53371
[Run]:40765 [Site]:4 [Bin]:14234 [FullTime]:3600 [SkipTime]:0 [Veto1]:65.5752 [Veto2]:59.6519 [Veto3]:67.2558 [Veto4]:71.5228 [SgUp1]:67533 [SgUp2]:68618 [SgUp3]:69120 [SgUp4]:69216 [SgLow1]:67498 [SgLow2]:68588 [SgLow3]:69088 [SgLow4]:69201 [NetMuon1]:53512 [NetMuon2]:53618 [NetMuon3]:53473 [NetMuon4]:53470
End process Run: 40765 ... 
[Run]:40765 [Site]:4 [Bin]:14235 [FullTime]:495.42 [SkipTime]:0 [Veto1]:13.1243 [Veto2]:9.17531 [Veto3]:8.17904 [Veto4]:8.18846
