          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
  7.4139 &  -0.0001 &   0.0024 &   0.0027 &   0.0000 \\ 
  6.5660 &  -0.0000 &   0.0027 &   0.0026 &   0.0000 \\ 
  6.5660 &   0.0002 &   0.0027 &   0.0026 &   0.0000 \\ 
  6.5660 &  -0.0002 &   0.0024 &   0.0026 &   0.0000 \\ 
  6.5660 &   0.0001 &   0.0025 &   0.0026 &   0.0000 \\ 
  7.4043 &  -0.0002 &   0.0039 &   0.0040 &   0.0000 \\ 
  7.4043 &  -0.0001 &   0.0038 &   0.0040 &   0.0000 \\ 
  7.4043 &   0.0001 &   0.0042 &   0.0040 &   0.0000 \\ 
  7.4043 &   0.0003 &   0.0038 &   0.0040 &   0.0000 \\ 
Bin Number:.............................    13 
  7.8257 &  -0.0000 &   0.0024 &   0.0026 &   0.0000 \\ 
  7.8257 &   0.0001 &   0.0028 &   0.0026 &   0.0000 \\ 
  7.8257 &  -0.0001 &   0.0026 &   0.0026 &   0.0000 \\ 
  7.8257 &   0.0001 &   0.0027 &   0.0026 &   0.0000 \\ 
  9.1795 &   0.0002 &   0.0024 &   0.0026 &   0.0000 \\ 
  9.1795 &   0.0003 &   0.0024 &   0.0026 &   0.0000 \\ 
  9.1795 &   0.0002 &   0.0026 &   0.0026 &   0.0000 \\ 
  9.1795 &   0.0002 &   0.0026 &   0.0026 &   0.0000 \\ 
  8.3992 &   0.0004 &   0.0043 &   0.0040 &   0.0000 \\ 
  8.3992 &   0.0001 &   0.0040 &   0.0040 &   0.0000 \\ 
  8.3992 &  -0.0003 &   0.0040 &   0.0040 &   0.0000 \\ 
  8.3992 &   0.0001 &   0.0037 &   0.0040 &   0.0000 \\ 
Bin Number:.............................    14 
  9.5045 &   0.0003 &   0.0026 &   0.0026 &   0.0000 \\ 
  9.5045 &   0.0001 &   0.0025 &   0.0026 &   0.0000 \\ 
  9.5045 &   0.0002 &   0.0028 &   0.0026 &   0.0000 \\ 
  9.5045 &  -0.0002 &   0.0029 &   0.0026 &   0.0000 \\ 
  9.1818 &   0.0004 &   0.0024 &   0.0025 &   0.0000 \\ 
  9.1818 &   0.0003 &   0.0024 &   0.0025 &   0.0000 \\ 
  9.1818 &  -0.0001 &   0.0028 &   0.0025 &   0.0000 \\ 
  9.1818 &  -0.0004 &   0.0024 &   0.0025 &   0.0000 \\ 
  9.4234 &  -0.0001 &   0.0041 &   0.0040 &   0.0000 \\ 
  9.4234 &   0.0006 &   0.0042 &   0.0040 &   0.0000 \\ 
  9.4234 &  -0.0004 &   0.0034 &   0.0040 &   0.0000 \\ 
  9.4234 &   0.0002 &   0.0043 &   0.0040 &   0.0000 \\ 
Bin Number:.............................    15 
 10.2630 &  -0.0007 &   0.0025 &   0.0025 &   0.0000 \\ 
 10.2630 &   0.0001 &   0.0026 &   0.0025 &   0.0000 \\ 
 10.2630 &   0.0001 &   0.0022 &   0.0025 &   0.0000 \\ 
 10.2630 &  -0.0000 &   0.0025 &   0.0025 &   0.0000 \\ 
  9.2856 &   0.0002 &   0.0024 &   0.0025 &   0.0000 \\ 
  9.2856 &   0.0002 &   0.0026 &   0.0025 &   0.0000 \\ 
  9.2856 &  -0.0004 &   0.0026 &   0.0025 &   0.0000 \\ 
  9.2856 &   0.0001 &   0.0025 &   0.0025 &   0.0000 \\ 
  9.3656 &  -0.0010 &   0.0037 &   0.0040 &   0.0000 \\ 
  9.3656 &   0.0000 &   0.0037 &   0.0040 &   0.0000 \\ 
  9.3656 &   0.0002 &   0.0037 &   0.0040 &   0.0000 \\ 
  9.3656 &   0.0006 &   0.0037 &   0.0040 &   0.0000 \\ 
Bin Number:.............................    16 
 10.9320 &  -0.0003 &   0.0024 &   0.0025 &   0.0000 \\ 
 10.9320 &  -0.0001 &   0.0026 &   0.0025 &   0.0000 \\ 
 10.9320 &   0.0001 &   0.0025 &   0.0025 &   0.0000 \\ 
 10.9320 &  -0.0002 &   0.0028 &   0.0025 &   0.0000 \\ 
 10.6604 &  -0.0001 &   0.0022 &   0.0025 &   0.0000 \\ 
 10.6604 &  -0.0001 &   0.0025 &   0.0025 &   0.0000 \\ 
 10.6604 &  -0.0003 &   0.0025 &   0.0025 &   0.0000 \\ 
 10.6604 &  -0.0003 &   0.0022 &   0.0025 &   0.0000 \\ 
 10.9825 &   0.0006 &   0.0045 &   0.0039 &   0.0000 \\ 
 10.9825 &  -0.0004 &   0.0038 &   0.0039 &   0.0000 \\ 
 10.9825 &  -0.0000 &   0.0042 &   0.0039 &   0.0000 \\ 
 10.9825 &  -0.0005 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    17 
 11.7873 &   0.0003 &   0.0023 &   0.0024 &   0.0000 \\ 
 11.7873 &  -0.0000 &   0.0025 &   0.0024 &   0.0000 \\ 
 11.7873 &   0.0003 &   0.0025 &   0.0024 &   0.0000 \\ 
 11.7873 &  -0.0003 &   0.0022 &   0.0024 &   0.0000 \\ 
 12.0339 &  -0.0002 &   0.0023 &   0.0024 &   0.0000 \\ 
 12.0339 &  -0.0004 &   0.0021 &   0.0024 &   0.0000 \\ 
 12.0339 &   0.0001 &   0.0023 &   0.0024 &   0.0000 \\ 
 12.0339 &   0.0001 &   0.0022 &   0.0024 &   0.0000 \\ 
 12.0704 &   0.0004 &   0.0039 &   0.0039 &   0.0000 \\ 
 12.0704 &  -0.0006 &   0.0042 &   0.0039 &   0.0000 \\ 
 12.0704 &   0.0004 &   0.0041 &   0.0039 &   0.0000 \\ 
 12.0704 &   0.0005 &   0.0035 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    18 
 13.2613 &  -0.0003 &   0.0025 &   0.0024 &   0.0000 \\ 
 13.2613 &   0.0002 &   0.0024 &   0.0024 &   0.0000 \\ 
 13.2613 &  -0.0000 &   0.0023 &   0.0024 &   0.0000 \\ 
 13.2613 &  -0.0001 &   0.0023 &   0.0024 &   0.0000 \\ 
 13.3059 &  -0.0005 &   0.0027 &   0.0024 &   0.0000 \\ 
