StreamChain add 0xfbca7e0
Start to process run: 26500 ... 
[Run]:26500 [Site]:1 [Bin]:5119 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:615.561 [Veto2]:651.752 [Veto3]:409.472 [Veto4]:409.472 [SgUp1]:174833 [SgUp2]:171356 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174455 [SgLow2]:170958 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600232 [NetMuon2]:592407 [NetMuon3]:641540 [NetMuon4]:641540
[Run]:26500 [Site]:1 [Bin]:5120 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.882 [Veto2]:636.982 [Veto3]:408.881 [Veto4]:408.881 [SgUp1]:174684 [SgUp2]:173062 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174372 [SgLow2]:172674 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600126 [NetMuon2]:595027 [NetMuon3]:640952 [NetMuon4]:640952
[Run]:26500 [Site]:1 [Bin]:5121 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:595.672 [Veto2]:624.74 [Veto3]:409.984 [Veto4]:409.984 [SgUp1]:176679 [SgUp2]:173401 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176280 [SgLow2]:173023 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:605080 [NetMuon2]:599293 [NetMuon3]:642701 [NetMuon4]:642701
[Run]:26500 [Site]:1 [Bin]:5122 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:632.072 [Veto2]:633.923 [Veto3]:409.569 [Veto4]:409.569 [SgUp1]:173804 [SgUp2]:172786 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173447 [SgLow2]:172393 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:597040 [NetMuon2]:596802 [NetMuon3]:641910 [NetMuon4]:641910
[Run]:26500 [Site]:1 [Bin]:5124 [FullTime]:3007.53 [SkipTime]:0 [Veto1]:504.064 [Veto2]:524.354 [Veto3]:342.96 [Veto4]:342.96 [SgUp1]:147160 [SgUp2]:144736 [SgUp3]:0 [SgUp4]:0 [SgLow1]:146813 [SgLow2]:144440 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:505366 [NetMuon2]:501505 [NetMuon3]:537641 [NetMuon4]:537641
[Run]:26500 [Site]:1 [Bin]:5125 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:613.157 [Veto2]:638.701 [Veto3]:409.234 [Veto4]:409.234 [SgUp1]:174617 [SgUp2]:173224 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174226 [SgLow2]:172832 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600307 [NetMuon2]:594997 [NetMuon3]:641339 [NetMuon4]:641339
[Run]:26500 [Site]:1 [Bin]:5126 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:628.226 [Veto2]:653.762 [Veto3]:409.536 [Veto4]:409.536 [SgUp1]:174561 [SgUp2]:171329 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174207 [SgLow2]:170912 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:597866 [NetMuon2]:593203 [NetMuon3]:642088 [NetMuon4]:642088
[Run]:26500 [Site]:1 [Bin]:5127 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:629.117 [Veto2]:616.154 [Veto3]:408.536 [Veto4]:408.536 [SgUp1]:173585 [SgUp2]:174073 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173215 [SgLow2]:173664 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595635 [NetMuon2]:599100 [NetMuon3]:640433 [NetMuon4]:640433
[Run]:26500 [Site]:1 [Bin]:5128 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:605.958 [Veto2]:621.078 [Veto3]:408.868 [Veto4]:408.868 [SgUp1]:175692 [SgUp2]:173335 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175351 [SgLow2]:172928 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:601145 [NetMuon2]:598395 [NetMuon3]:640995 [NetMuon4]:640995
[Run]:26500 [Site]:1 [Bin]:5129 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:615.249 [Veto2]:631.314 [Veto3]:408.749 [Veto4]:408.749 [SgUp1]:174651 [SgUp2]:172833 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174303 [SgLow2]:172472 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:599543 [NetMuon2]:596083 [NetMuon3]:640870 [NetMuon4]:640870
[Run]:26500 [Site]:1 [Bin]:5130 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:629.551 [Veto2]:630.318 [Veto3]:408.658 [Veto4]:408.658 [SgUp1]:173775 [SgUp2]:173080 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173404 [SgLow2]:172714 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596558 [NetMuon2]:596240 [NetMuon3]:640768 [NetMuon4]:640768
[Run]:26500 [Site]:1 [Bin]:5131 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:610.77 [Veto2]:647.891 [Veto3]:408.124 [Veto4]:408.124 [SgUp1]:175478 [SgUp2]:171628 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175124 [SgLow2]:171273 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:598910 [NetMuon2]:591315 [NetMuon3]:639740 [NetMuon4]:639740
[Run]:26500 [Site]:1 [Bin]:5132 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:624.403 [Veto2]:626.255 [Veto3]:408.628 [Veto4]:408.628 [SgUp1]:173980 [SgUp2]:172881 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173570 [SgLow2]:172499 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596918 [NetMuon2]:596477 [NetMuon3]:640595 [NetMuon4]:640595
[Run]:26500 [Site]:1 [Bin]:5133 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:619.281 [Veto2]:624.474 [Veto3]:408.969 [Veto4]:408.969 [SgUp1]:175392 [SgUp2]:172895 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175012 [SgLow2]:172529 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:598404 [NetMuon2]:597231 [NetMuon3]:640817 [NetMuon4]:640817
[Run]:26500 [Site]:1 [Bin]:5134 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.749 [Veto2]:648.972 [Veto3]:408.657 [Veto4]:408.657 [SgUp1]:175671 [SgUp2]:170656 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175336 [SgLow2]:170266 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:599625 [NetMuon2]:592534 [NetMuon3]:640815 [NetMuon4]:640815
[Run]:26500 [Site]:1 [Bin]:5135 [FullTime]:3590.18 [SkipTime]:0 [Veto1]:632.016 [Veto2]:631.859 [Veto3]:408.405 [Veto4]:408.405 [SgUp1]:174520 [SgUp2]:171774 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174111 [SgLow2]:171437 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595275 [NetMuon2]:595120 [NetMuon3]:640261 [NetMuon4]:640261
[Run]:26500 [Site]:1 [Bin]:5136 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:617.36 [Veto2]:640.196 [Veto3]:407.794 [Veto4]:407.794 [SgUp1]:175286 [SgUp2]:172747 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174941 [SgLow2]:172307 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596985 [NetMuon2]:592388 [NetMuon3]:639062 [NetMuon4]:639062
[Run]:26500 [Site]:1 [Bin]:5137 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.493 [Veto2]:651.548 [Veto3]:407.905 [Veto4]:407.905 [SgUp1]:175373 [SgUp2]:171368 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175006 [SgLow2]:170990 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:598388 [NetMuon2]:590459 [NetMuon3]:639441 [NetMuon4]:639441
[Run]:26500 [Site]:1 [Bin]:5138 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:629.465 [Veto2]:623.85 [Veto3]:409.604 [Veto4]:409.604 [SgUp1]:173844 [SgUp2]:173003 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173467 [SgLow2]:172615 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:597408 [NetMuon2]:598781 [NetMuon3]:641964 [NetMuon4]:641964
[Run]:26500 [Site]:1 [Bin]:5139 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:628.015 [Veto2]:621.881 [Veto3]:408.529 [Veto4]:408.529 [SgUp1]:175451 [SgUp2]:172965 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175053 [SgLow2]:172613 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596234 [NetMuon2]:597589 [NetMuon3]:640333 [NetMuon4]:640333
[Run]:26500 [Site]:1 [Bin]:5140 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:641.885 [Veto2]:621.011 [Veto3]:407.195 [Veto4]:407.195 [SgUp1]:173299 [SgUp2]:172060 [SgUp3]:0 [SgUp4]:0 [SgLow1]:172906 [SgLow2]:171681 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591228 [NetMuon2]:595491 [NetMuon3]:638276 [NetMuon4]:638276
[Run]:26500 [Site]:1 [Bin]:5141 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:635.045 [Veto2]:624.393 [Veto3]:408.14 [Veto4]:408.14 [SgUp1]:173741 [SgUp2]:172771 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173383 [SgLow2]:172384 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594785 [NetMuon2]:596804 [NetMuon3]:640245 [NetMuon4]:640245
